How to change the current PIN to a new pin?,"To change the current PIN to a new pin:

1. Click on the Menu Button on the left corner.
2. Click on ‘Edit profile’.
3. Enter your current password.
4. Click on ‘PIN’.
5. Enter the current PIN.
6. Create a PIN.
7. Re-enter the PIN to confirm."
LIMITS,"<table>
        <tr>
            <th>Transaction Type</th>
            <th>MIN LIMIT (LKR)</th>
            <th>MAX LIMIT (LKR)</th>
        </tr>
        <tr>
            <td>LankaQR</td>
            <td>10</td>
            <td>200,000</td>
        </tr>
        <tr>
            <td>In-App</td>
            <td>10</td>
            <td>50,000</td>
        </tr>
        <tr>
            <td>Add Money</td>
            <td>100</td>
            <td>1,000,000</td>
        </tr>
        <tr>
            <td>Send Money</td>
            <td>10</td>
            <td>100,000</td>
        </tr>
        <tr>
            <td>Transfer Money</td>
            <td>10</td>
            <td>1,000,000</td>
        </tr>
        <tr>
            <td>Request Money</td>
            <td>10</td>
            <td>100,000</td>
        </tr>
        <tr>
            <td>Cash to Mobile</td>
            <td>100</td>
            <td>40,000</td>
        </tr>
        <tr>
            <td>Split Pay</td>
            <td>10</td>
            <td>100,000</td>
        </tr>
    </table>"
SOLO for Merchants,"Unlocking success for businesses islandwide, our app powers seamless transactions and fuels growth in Sri Lanka. Join the thriving community of merchants who rely on us to elevate their payment experience and drive business forward. <a href='https://www.getsolo.lk/merchants/'>Learn more</a>"
What are the latest Promotions available in your Solo app,"Save with SOLO and grab exciting offers! To find out about the latest promotions and offers available for SOLO, please visit <a href='https://www.getsolo.lk/solo-for-consumers/#promos'>Solo Promotions for Consumers</a>. This page will have up-to-date information on current promotions and offers, allowing you to make the most of your SOLO digital wallet."
What are the promotions available for Solo today or in the coming days,"Save with SOLO and grab exciting offers! To find out about the latest promotions and offers available for SOLO, please visit <a href='https://www.getsolo.lk/solo-for-consumers/#promos'>Solo Promotions for Consumers</a>. This page will have up-to-date information on current promotions and offers, allowing you to make the most of your SOLO digital wallet."
Promos and Offers,"Save with SOLO and grab exciting offers! To find out about the latest promotions and offers available for SOLO, please visit <a href='https://www.getsolo.lk/solo-for-consumers/#promos'>Solo Promotions for Consumers</a>. This page will have up-to-date information on current promotions and offers, allowing you to make the most of your SOLO digital wallet."
How can I contact Solo support or find them on social media?,"You can reach SOLO support and stay connected through various channels Facebook Youtube Instrgram
Contact us: You can also directly contact Solo support via email at solosupport@hnb.lk or by calling +94 114 523 523."
Website link if available,"You can reach SOLO support and stay connected through various channels Facebook Youtube Instrgram
Contact us: You can also directly contact Solo support via email at solosupport@hnb.lk or by calling +94 114 523 523."
SOLO support,"You can reach SOLO support and stay connected through various channels Facebook Youtube Instrgram
Contact us: You can also directly contact Solo support via email at solosupport@hnb.lk or by calling +94 114 523 523.
"
Can I register to SOLO using my overseas mobile number?,Only Sri Lankan registered mobile numbers can be registered to SOLO.
Can I change my registered mobile number in SOLO?,"Yes, you can. You have to delete the existing profile and create a new SOLO profile by contacting SOLO Support on 0114 523 523."
Can I login to the same SOLO profile from multiple phones at the same time? ,You are unable to login for the same SOLO profile from multiple phones at the same time.
How much space does SOLO app consume? ,"• Android – 12 MB 
• Huawei – 51 MB
• IOS – 105 MB"
Can I top up the SOLO Max Wallet using my debit / credit card?,SOLO Max Wallet can be topped up only using a bank account. It can be topped up by both HNB and non-HNB accounts.
Do I need to have a HNB account to use SOLO?,SOLO can be downloaded by any bank account holder.
Can I check my account / card balance from SOLO?,Account / Card balance can’t be checked.
I have registered to SOLO using my old NIC number. Can I update my new NIC number to SOLO?,"Yes, you can. You have to delete the existing profile and create a new SOLO profile by contacting SOLO Support on 0114 523 523."
Can I set a standing order / scheduled payment in SOLO? ,Standing order / scheduled payment can’t be set.
My Account has been debited but merchant didn't receive the notification. Why is that?,"Inform the merchant to check their transaction in the merchant app. If the particular transaction does not appear, please contact SOLO Support on 0114 523 523."
What should I do if the merchant denies that he didn't receive the funds?,"Show the transaction to the merchant from transaction history, and inform the merchant to check their transactions in the merchant app. If the particular transaction does not appear, please contact SOLO Support on 0114 523 523."
Can SOLO be used on rooted or jailbroken devices?,SOLO cannot be used on rooted or jailbroken devices
Thank you ,"Thank you for chatting, I am available 24/7*365 for your banking inquiries"
,
